('right', '$', 0.052089980855137205)
('okay', '$', 0.042797750061139644)
('yeah', '$', 0.03958165728077233)
('know', '$', 0.03453934515902165)
('go', '$', 0.028729102418438564)
('come', '$', 0.025922887612797374)
('^', "i'm", 0.023080635346943913)
('back', '$', 0.0225825130283729)
('man', '$', 0.021542795592012595)
('us', '$', 0.019978446489264695)
('yes', '$', 0.019277512362752495)
('hey', '$', 0.017329592341970623)
('time', '$', 0.016655618163738815)
('get', '$', 0.01650376542220798)
('one', '$', 0.015934959349593495)
('^', 'know', 0.015568937661302167)
('like', '$', 0.015461426960863263)
("i'm", 'gonna', 0.01540785498489426)
('^', 'yeah', 0.015212236933213033)
('see', '$', 0.01444223107569721)
('sorry', '$', 0.014316995115378137)
('sir', '$', 0.013554727211114876)
('good', '$', 0.013539330509178504)
("i'm", 'sorry', 0.013293051359516616)
('got', '$', 0.01307030362071765)
('thank', '$', 0.012764158918005072)
('way', '$', 0.012623074981065387)
('oh', '$', 0.011812961443806398)
('thing', '$', 0.01179543348218047)
('look', '$', 0.011754897874114214)
('help', '$', 0.011513714866237725)
('stark', '$', 0.011426650983028062)
('^', 'oh', 0.011330493715772466)
('god', '$', 0.011302795954788817)
('stop', '$', 0.011038464804279528)
('tony', '$', 0.011006553520416736)
('^', "that's", 0.010784951425753793)
('going', '$', 0.010685366057266884)
('please', '$', 0.010509365200440716)
('^', 'okay', 0.010176461948425272)
('wait', '$', 0.009927032071949771)
('^', 'hey', 0.009630919658406597)
('oh', 'god', 0.009433962264150943)
('guy', '$', 0.00926004587545663)
('^', 'right', 0.009211271743007617)
('fine', '$', 0.008982035928143712)
('mr', 'stark', 0.008422664624808576)
('move', '$', 0.008363915678074593)
('h', 'e', 0.00823327615780446)
('nothing', '$', 0.008090614886731391)
('want', '$', 0.00807794803464357)
('e', 'l', 0.008047945205479452)
("let's", 'go', 0.007962727657772131)
('^', 'get', 0.007952327996810676)
('^', 'well', 0.007805451226421033)
('coming', '$', 0.007761194029850746)
('something', '$', 0.007749978940274619)
('suit', '$', 0.00767590618336887)
('^', 'got', 0.00763759206026144)
('^', 'come', 0.007616609664491491)
('guys', '$', 0.007557744565217391)
('l', '$', 0.007376275838408097)
('peter', '$', 0.007337883959044369)
('think', '$', 0.0072841652181110834)
('world', '$', 0.0072113345210825484)
('spider', 'man', 0.007120185296388436)
('done', '$', 0.007006151742993848)
('say', '$', 0.006935633933857735)
('life', '$', 0.006900664508434145)
('take', '$', 0.006769745089845383)
('hell', '$', 0.006752713907171553)
('work', '$', 0.006731998295696634)
('^', 'yes', 0.006672401854843786)
('^', 'think', 0.00658847227176399)
('away', '$', 0.0065772614674980785)
('really', '$', 0.006472763954270343)
('kill', '$', 0.0063802637175669925)
('^', "he's", 0.006357665918294551)
('dead', '$', 0.006250535148557239)
('home', '$', 0.0062478603218076)
('people', '$', 0.006236305410416316)
("i'm", '$', 0.0061933534743202415)
('^', "we're", 0.006084894773285214)
('huh', '$', 0.006017364394395255)
('great', '$', 0.005960490463215259)
('^', 'need', 0.005896053211355673)
('tell', '$', 0.0058848255569567045)
('plan', '$', 0.005745647886116113)
('ready', '$', 0.005734337555631633)
('hi', '$', 0.005662319835277968)
('need', '$', 0.005629139072847682)
('whoa', '$', 0.005579399141630901)
('scott', '$', 0.0055731801423304465)
("that's", '$', 0.005529804017239977)
('^', 'want', 0.005455422900186743)
('everything', '$', 0.005455165359699966)
('^', 'look', 0.005329528525567049)
('better', '$', 0.005292360221937686)
('sure', '$', 0.005199011335549305)
('die', '$', 0.0051488886981893075)
('day', '$', 0.005133909472062976)
("we're", 'gonna', 0.005075719753702779)
("i'm", 'going', 0.005060422960725075)
('^', "can't", 0.005035774984787763)
('groot', '$', 0.004987960096319229)
('thor', '$', 0.004958960328317373)
('iron', 'man', 0.004900275103163687)
('thanks', '$', 0.004886831275720165)
('asgard', '$', 0.004884318766066838)
('things', '$', 0.004875545291249679)
('much', '$', 0.0048543689320388345)
('call', '$', 0.004845290717443046)
('^', 'like', 0.004825951027088273)
("can't", '$', 0.004779473419419755)
('^', 'thank', 0.004763003839778426)
('understand', '$', 0.004721435316336166)
('course', '$', 0.004720624839069608)
('place', '$', 0.004703668861712135)
('find', '$', 0.004681249468039833)
("i've", 'got', 0.00464841108857336)
('brother', '$', 0.0046387767373936946)
('^', 'one', 0.004637109465158732)
('around', '$', 0.004616173704906822)
('^', "i'll", 0.004616127069388783)
('^', 'go', 0.004595144673618834)
('head', '$', 0.004543895747599451)
('king', '$', 0.004541170422414532)
('father', '$', 0.004524886877828055)
('^', 'good', 0.004490232694769089)
('wow', '$', 0.00447234884320977)
('alive', '$', 0.004470810764336686)
('well', '$', 0.004469458698890912)
('wrong', '$', 0.004460456338994682)
('nice', '$', 0.004451673658077219)
('anything', '$', 0.004448246364414029)
('get', 'back', 0.004406345136997276)
('quill', '$', 0.00438219625365183)
('cap', '$', 0.004296270836913559)
('hold', '$', 0.00429000429000429)
('hmm', '$', 0.004220499569336779)
('alone', '$', 0.00421505376344086)
('happened', '$', 0.00420636964546313)
('stay', '$', 0.004193051514632894)
('captain', '$', 0.004189824711415134)
('^', 'see', 0.004154514362449905)
('together', '$', 0.004119110958551446)
('tony', 'stark', 0.004116955133590993)
('bad', '$', 0.00411381556393555)
('minutes', '$', 0.004039188724647645)
('yet', '$', 0.004038494586698745)
('enough', '$', 0.004031220516339308)
('talk', '$', 0.004029147021003001)
('go', 'go', 0.0039766271709138126)
('^', "what's", 0.0039656728005203635)
('listen', '$', 0.00394714261197872)
('stone', '$', 0.0039454498670554936)
('talking', '$', 0.003944434916823872)
('love', '$', 0.003930616081346663)
('^', "let's", 0.0038817432174405673)
('stuff', '$', 0.003869636254192106)
('ah', '$', 0.003869303525365434)
('friends', '$', 0.003865647281161412)
('kid', '$', 0.0038649832517392425)
('name', '$', 0.003854719890354634)
("what's", '$', 0.0037961869411169227)
